frequency_Hz,comfort_peak_sprung_mass_displacement_m,comfort_rms_sprung_mass_acceleration_mps2,comfort_peak_suspension_deflection_m,comfort_peak_tyre_deflection_m,comfort_normalised_peak_sprung_mass_displacement,comfort_normalised_peak_suspension_deflection,comfort_normalised_peak_tyre_deflection,rally_peak_sprung_mass_displacement_m,rally_rms_sprung_mass_acceleration_mps2,rally_peak_suspension_deflection_m,rally_peak_tyre_deflection_m,rally_normalised_peak_sprung_mass_displacement,rally_normalised_peak_suspension_deflection,rally_normalised_peak_tyre_deflection,track_peak_sprung_mass_displacement_m,track_rms_sprung_mass_acceleration_mps2,track_peak_suspension_deflection_m,track_peak_tyre_deflection_m,track_normalised_peak_sprung_mass_displacement,track_normalised_peak_suspension_deflection,track_normalised_peak_tyre_deflection
0.5,0.0248184478980696,0.173204577526441,0.00459283317782304,0.000395378357131023,1.24092239490348,0.229641658891152,0.0197689178565512,0.0228139001994819,0.159215111356299,0.00253312628208002,0.000366673526486308,1.1406950099741,0.126656314104001,0.0183336763243154,0.0218379797644931,0.152404295170859,0.00152487457883771,0.000352691481363822,1.09189898822466,0.0762437289418856,0.0176345740681911
0.541772151898734,0.0258104940006126,0.211482488045598,0.00557906658164139,0.000481021039788219,1.29052470003063,0.278953329082069,0.0240510519894109,0.0233451367965372,0.19128218209924,0.00302770042004585,0.000439581530847104,1.16725683982686,0.151385021002293,0.0219790765423552,0.0221747671637213,0.181692567817737,0.00181041462316243,0.000419894665495174,1.10873835818606,0.0905207311581216,0.0209947332747587
0.583544303797468,0.0269376539056883,0.256066152395707,0.00671817817746498,0.000580207734968486,1.34688269528442,0.335908908873249,0.0290103867484243,0.0239328332975006,0.227502683042666,0.00358127041680244,0.000521634139466564,1.19664166487503,0.179063520840122,0.0260817069733282,0.0225442379056024,0.21430285946179,0.00212591225059318,0.00049453734756695,1.12721189528012,0.106295612529659,0.0247268673783475
0.625316455696203,0.0282133886960528,0.307963825906849,0.00803272511206776,0.000694999847331051,1.41066943480264,0.401636255603388,0.0347499923665525,0.0245800185930536,0.268303699648717,0.004198953937819,0.000613718998688888,1.22900092965268,0.20994769689095,0.0306859499344444,0.022947706545574,0.250486163845725,0.00247316788267529,0.000577148284266304,1.1473853272787,0.123658394133765,0.0288574142133152
0.667088607594937,0.0296505908714074,0.368336823997023,0.00954837108622306,0.000827756271125383,1.48252954357037,0.477418554311153,0.0413878135562691,0.0252897138559515,0.31416348233645,0.00488642348359842,0.000716827960199008,1.26448569279758,0.244321174179921,0.0358413980099504,0.0233865657401333,0.290521473459913,0.0028541725437652,0.000668315011782622,1.16932828700667,0.14270862718826,0.0334157505891311
0.708860759493671,0.0312594149308686,0.438477644023595,0.0112931537736844,0.000981076093126386,1.56297074654343,0.564657688684219,0.0490538046563193,0.0260647620973691,0.36561194448985,0.00564988245156343,0.000832056786403847,1.30323810486846,0.282494122578171,0.0416028393201923,0.023862268882402,0.334717443168807,0.00327111540181938,0.000768687172054751,1.1931134441201,0.163555770090969,0.0384343586027375
0.750632911392405,0.0330434503837303,0.51973903161034,0.0132955143633748,0.00115763346506045,1.65217251918651,0.66477571816874,0.0578816732530223,0.0269075767301019,0.423228134782495,0.00649599364613861,0.000960598000231236,1.34537883650509,0.32479968230693,0.0480299000115618,0.0243763047672318,0.383413865284408,0.00372638861575658,0.000878979364311877,1.21881523836159,0.186319430787829,0.0439489682155938
0.792405063291139,0.0349933770584742,0.613373599108133,0.0155801303011372,0.0013598189766825,1.74966885292371,0.779006515056862,0.0679909488341252,0.0278197798369952,0.487632801386949,0.00743173419504599,0.00110372277870563,1.39098899184976,0.371586709752299,0.0551861389352815,0.0249301616595034,0.436982774137087,0.0042225878251068,0.000999973114996622,1.24650808297517,0.21112939125534,0.0499986557498311
0.834177215189873,0.0370772102866753,0.720225403549116,0.0181602006145497,0.00158906537247796,1.85386051433376,0.908010030727485,0.0794532686238981,0.0288016943339056,0.559473373647809,0.00846414079859674,0.00126274610841859,1.44008471669528,0.423207039929837,0.0631373054209294,0.0255252774362811,0.495828922945034,0.00476250599778266,0.00113251739480601,1.27626387181406,0.238125299889133,0.0566258697403005
0.875949367088608,0.0392269173123513,0.840208218370079,0.0210247668809858,0.00184472613536222,1.96134586561757,1.05123834404929,0.0922363067681111,0.0298516497539931,0.639397719058406,0.00959989752077083,0.0014389673925471,1.49258248769965,0.479994876038542,0.0719483696273552,0.0261629716431918,0.560389275979928,0.00534911754703832,0.00127752689458385,1.30814858215959,0.267455877351916,0.0638763447291927
0.917721518987342,0.0413235428796471,0.971547678089307,0.0241208243018453,0.00212247410127766,2.06617714398236,1.20604121509226,0.106123705063883,0.0309650631077277,0.728012001580311,0.010844706837829,0.00163357658442058,1.54825315538638,0.542235341891452,0.0816788292210288,0.0268443543672734,0.631131029381714,0.00598554860704042,0.00143597699126025,1.34221771836367,0.299277430352021,0.0717988495630123
0.959493670886076,0.0431880239264427,1.1099215940192,0.0273339007577571,0.00241253071932281,2.15940119632213,1.36669503788785,0.120626535966141,0.0321332715594024,0.825817176794395,0.0122023780109419,0.00184751440618624,1.60666357797012,0.610118900547097,0.0923757203093119,0.0275702058419425,0.708547510014468,0.00667502809800942,0.00160889398215292,1.37851029209713,0.333751404900471,0.0804446991076458
1.00126582278481,0.0445914159202739,1.24794310568685,0.0304781546881868,0.00269869514961244,2.22957079601369,1.52390773440934,0.134934757480622,0.0333421340410521,0.933118750474568,0.0136735741348202,0.00208127569964604,1.6671067020526,0.683678706741009,0.104063784982302,0.0283408197922907,0.793151101829497,0.00742081272687399,0.00179733873849039,1.41704098961454,0.3710406363437,0.0898669369245196
1.04303797468354,0.0452989524914755,1.37572978200109,0.0333135232041896,0.00295974350334768,2.26494762457377,1.66567616020948,0.147987175167384,0.0345704995111521,1.04990652410994,0.0152541956178159,0.00233464988190406,1.72852497555761,0.762709780890793,0.116732494095203,0.0291558029381759,0.885462118086544,0.00822607742926323,0.0020023814392702,1.4577901469088,0.411303871463161,0.10011907196351
1.08481012658228,0.0451451416981498,1.48307536376731,0.035600718208393,0.0031742164242703,2.25725708490749,1.78003591041965,0.158710821213515,0.0357887741264702,1.17570678061635,0.016933464130682,0.00260640530212127,1.78943870632351,0.8466732065341,0.130320265106064,0.0300138232020452,0.985992292615733,0.00909376114509056,0.00222506453430087,1.50069116010226,0.454688057254528,0.111253226715043
1.12658227848101,0.044104059395703,1.56260472767216,0.0371768713881601,0.00332714906525585,2.20520296978515,1.858843569408,0.166357453262792,0.0369580071253609,1.30942043545898,0.0186919267272179,0.00289394854215989,1.84790035626804,0.934596336360895,0.144697427107995,0.030912300654659,1.09522134261636,0.0100263565964613,0.00246635063734735,1.54561503273295,0.501317829823065,0.123317531867368
1.16835443037975,0.0423050012488478,1.61207658705636,0.0380069445470568,0.00341478089123598,2.11525006244239,1.90034722735284,0.170739044561799,0.0380301153893612,1.44917756322985,0.0204998242862974,0.00319302605351761,1.90150576946806,1.02499121431487,0.15965130267588,0.0318470390062061,1.21356493164916,0.0110256325421523,0.00272705182729333,1.59235195031031,0.551281627107613,0.136352591364666
1.21012658227848,0.0399797334214438,1.63435439346954,0.0381775226506777,0.00344419966880258,1.99898667107219,1.90887613253389,0.172209983440129,0.0389499717432669,1.59225817673858,0.0223165084088466,0.00349757651939125,1.94749858716335,1.11582542044233,0.174878825969562,0.0328118027561422,1.3413324552933,0.0120922788330814,0.00300773710228678,1.64059013780711,0.604613941654071,0.150386855114339
1.25189873417722,0.0373803380865832,1.63540892882681,0.0378449393686506,0.00342886725825038,1.86901690432916,1.89224696843253,0.171443362912519,0.0396599160820464,1.73514163319942,0.0240917101821967,0.00379986695703235,1.98299580410232,1.20458550910983,0.189993347851618,0.0337978574027778,1.47867356479467,0.0132254699449538,0.0033086158831053,1.68989287013889,0.66127349724769,0.165430794155265
1.29367088607595,0.0347169621906602,1.62193731078848,0.0371771501624014,0.00338348408689203,1.73584810953301,1.85885750812007,0.169174204344601,0.0401066460657498,1.87373726155476,0.0257692616382974,0.00409102098454103,2.00533230328749,1.28846308191487,0.204551049227052,0.0347935086851896,1.62551347666399,0.0144223533502517,0.00362939801472795,1.73967543425948,0.721117667512587,0.181469900736398
1.33544303797468,0.032134000604311,1.59978003693916,0.0363168596898141,0.00332066963046215,1.60670003021555,1.8158429844907,0.166033481523108,0.0402494330816635,2.00380401852378,0.0272932032053034,0.00436194773689114,2.01247165408318,1.36466016026517,0.218097386844557,0.0357837020685711,1.78147915418283,0.0156774869634844,0.00396913523010669,1.78918510342856,0.783874348174219,0.198456761505334
1.37721518987342,0.0297146373487408,1.57332622340054,0.0353689994963331,0.00324978656311938,1.48573186743704,1.76844997481665,0.162489328155969,0.0400675881198848,2.12149272957888,0.0286152003956705,0.00460451893881799,2.00337940599424,1.43076001978353,0.230225946940899,0.036749773741768,1.94582158460737,0.0169822759628214,0.00432605590797117,1.8374886870884,0.849113798141068,0.216302795398559
1.41898734177215,0.0274968368622755,1.54555519242192,0.0344032052622401,0.00317710893658302,1.37484184311378,1.72016026311201,0.158855446829151,0.0395647578949591,2.22387459720375,0.0297013324222444,0.00481269455478625,1.97823789474795,1.48506662111222,0.240634727739313,0.0376694734443818,2.11734355371034,0.0183244922121771,0.00469741399683514,1.88347367221909,0.916224610608854,0.234870699841757
1.46075949367089,0.0254897118548405,1.51833324042294,0.0334618960944627,0.0031065072071357,1.27448559274202,1.67309480472314,0.155325360356785,0.0387684519853827,2.3093014807058,0.030536223856882,0.00498326565416565,1.93842259926913,1.5268111928441,0.249163282708283,0.038517396145491,2.29434695987478,0.0196879935535975,0.00507938287220471,1.92586980727455,0.984399677679874,0.253969143610236
1.50253164556962,0.0236860330611515,1.49274053228848,0.0325686356642664,0.00304017392257091,1.18430165305758,1.62843178321332,0.152008696128545,0.0377249285462296,2.37749942226527,0.0311233911590995,0.00511601131611956,1.88624642731148,1.55616955795497,0.255800565805978,0.0392659473304679,2.47461746623285,0.0210527836299404,0.0054670326601634,1.96329736652339,1.05263918149702,0.27335163300817
1.54430379746835,0.0220704855385297,1.46933933537622,0.0317348005411741,0.00297920885965838,1.10352427692649,1.5867400270587,0.148960442982919,0.0364912347550362,2.4293985978885,0.0314821000497857,0.00521328890456847,1.82456173775181,1.57410500248928,0.260664445228424,0.0398869076618609,2.65546502326725,0.0223955483155823,0.00585443054359179,1.99434538309305,1.11977741577911,0.292721527179589
1.58607594936709,0.0206246243023452,1.44836741126264,0.0309642949345241,0.00292403589909594,1.03123121511726,1.5482147467262,0.146201794954797,0.0351268829385798,2.46679075272616,0.031642152045902,0.00527926398824504,1.75634414692899,1.5821076022951,0.263963199412252,0.0403535478143653,2.83383409687173,0.0236907544778664,0.00623489262305694,2.01767739071826,1.18453772389332,0.311744631152847
1.62784810126582,0.0193296252258917,1.42986793527346,0.0302566656957002,0.00287468026062416,0.966481261294584,1.51283328478501,0.143734013031208,0.0336871677791318,2.49193662446375,0.0316383177164617,0.00531904803008304,1.68435838895659,1.58191588582308,0.265952401504152,0.0406430857695462,3.00648587095212,0.0249122928933965,0.00660139013073285,2.03215428847731,1.24561464466983,0.330069506536642
1.66962025316456,0.0181676834915155,1.41377306278464,0.029609073333129,0.00283094506352739,0.908384174575777,1.48045366665645,0.141547253176369,0.0322190417558172,2.50722186812536,0.0315056997943623,0.00533795462327864,1.61095208779086,1.57528498971812,0.266897731163932,0.040739119796525,3.17023742717564,0.0260355044502615,0.00694707504507399,2.03695598982625,1.30177522251307,0.3473537522537
1.71139240506329,0.0171226299010053,1.39995607407616,0.0290174999568433,0.00279252030912372,0.856131495050264,1.45087499784216,0.139626015456186,0.03075945793202,2.51491098132614,0.0312765938775273,0.00534097637187875,1.537972896601,1.56382969387637,0.267048818593938,0.0406335772937024,3.32222466248727,0.0270392899108536,0.00726585096842996,2.03167886468512,1.35196449554268,0.363292548421498
1.75316455696203,0.01618011767245,1.3882630954959,0.0284774683223777,0.00275904831950638,0.809005883622502,1.42387341611888,0.137952415975319,0.0293355298771528,2.51700477955189,0.0309788212808572,0.00533248944772486,1.46677649385764,1.54894106404286,0.266624472386243,0.0403277537979089,3.46014370570422,0.0279079272287751,0.00755289023940548,2.01638768989544,1.39539636143875,0.377644511970274
1.79493670886076,0.0153275872585239,1.37853188357731,0.0279844555860793,0.00273016183132066,0.766379362926194,1.39922277930397,0.136508091566033,0.0279657417831091,2.51518168160921,0.0306351957028055,0.00531613955817003,1.39828708915545,1.53175978514028,0.265806977908502,0.0398321940599268,3.58242615607435,0.0286322522813936,0.00780500108208708,1.99160970299634,1.43161261406968,0.390250054104354
1.83670886075949,0.0145541268884587,1.37060255833634,0.0275341199887802,0.00270550522993856,0.727706344422936,1.37670599943901,0.135275261496928,0.0266615832645046,2.51079535802352,0.0302637144085034,0.00529484802439771,1.33307916322523,1.51318572042517,0.264742401219886,0.0391654372997587,3.68831802641344,0.02921000073071,0.00802078169726605,1.95827186498793,1.4605000365355,0.401039084863302
1.87848101265823,0.0138502932702664,1.36432339884616,0.0271224148428258,0.00268474555375764,0.692514663513322,1.35612074214129,0.134237277687882,0.0254292029081246,2.50490411030075,0.0298781279329523,0.00527088401455222,1.27146014540623,1.49390639664761,0.263544200727611,0.0383519119333956,3.77785580566356,0.0296453107240188,0.00820055009796077,1.91759559666978,1.48226553620094,0.410027504898038
1.92025316455696,0.0132079262156174,1.35955365576969,0.0267456359349096,0.00266757739978843,0.660396310780869,1.33728179674548,0.133378869989422,0.0242708685907073,2.49831408674777,0.029488648159627,0.0052459642913578,1.21354342953537,1.47443240798135,0.26229821456789,0.0374194248824631,3.85175651841527,0.0299475715734317,0.00834608929290616,1.87097124412315,1.49737857867158,0.417304464645308
1.9620253164557,0.0126199737033279,1.35616459628386,0.0264004306321761,0.0026537242785509,0.630998685166393,1.32002153160881,0.132686213927545,0.0231861562206409,2.49162517526073,0.0291026521918226,0.00522135673391456,1.15930781103205,1.45513260959113,0.261067836695728,0.0363967040499274,3.91125390704395,0.0301299100831213,0.00846027961017063,1.81983520249637,1.50649550415607,0.423013980508532
2.00379746835443,0.0120803344402583,1.35403953125925,0.0260837858779671,0.0026429379759646,0.604016722012917,1.30418929389835,0.13214689879823,0.0221728652306645,2.48527358179343,0.028725310801841,0.00519797515406496,1.10864326153322,1.43626554009205,0.259898757703248,0.0353113436317406,3.95791651429096,0.0302076144016039,0.00854669663762407,1.76556718158703,1.5103807200802,0.427334831881203
2.04556962025316,0.0115837199605284,1.35307328355062,0.0257930054028991,0.00263499686510188,0.579185998026421,1.28965027014495,0.131749843255094,0.021227695139192,2.47956850321577,0.0283601152625567,0.0051764602397393,1.0613847569596,1.41800576312783,0.258823011986965,0.0341883356654642,3.99347737649298,0.0301967280268088,0.00860923897520924,1.70941678327321,1.50983640134044,0.430461948760462
